"","Año","$BD_{sept}$","$BD_{marzo}$","$BD_{julio}$","$BT_{sept}$","$BT_{marzo}$","$BT_{julio}$","$R_{sept}$","$R_{marzo}$","$R_{julio}$","$F_{sept}$","$F_{marzo}$","$F_{julio}$"
"1","1996/97","453760","449330","449330","1557700","1544300","1544300","36643","36327","36327","0.945","0.963","0.963"
"2","1997/98","250220","246830","246830","380750","376310","376310","44651","44137","44137","0.862","0.882","0.882"
"3","1998/99","279850","274410","274410","669670","659290","659290","23370","22999","22999","1.472","1.52","1.52"
"4","1999/00","276440","268420","268420","502520","489730","489730","35358","34607","34607","0.31","0.322","0.322"
"5","2000/01","321480","313470","313470","647350","637170","637170","61911","61647","61647","0.054","0.056","0.056"
"6","2001/02","540380","532230","532230","759600","746790","746790","43864","42404","42404","0.515","0.527","0.527"
"7","2002/03","767190","751530","751530","1805300","1794500","1794500","77144","77704","77704","0.327","0.336","0.336"
"8","2003/04","936650","925060","925060","1667000","1640700","1640700","77383","75394","75394","0.652","0.666","0.666"
"9","2004/05","810880","792710","792710","1735700","1704800","1704800","99828","98343","98343","0.733","0.756","0.756"
"10","2005/06","866660","847350","847350","1675600","1657200","1657200","117200","117750","117750","0.542","0.559","0.559"
"11","2006/07","905580","894650","894650","1551300","1539100","1539100","67306","67258","67258","1.008","1.03","1.03"
"12","2007/08","641420","633110","633110","1089100","1074100","1074100","46859","45869","45869","0.881","0.899","0.899"
"13","2008/09","407330","397670","397670","795160","786660","786660","45117","45408","45408","1.388","1.436","1.436"
"14","2009/10","210310","204780","204780","433410","429780","429780","24575","24924","24924","2.744","2.865","2.865"
"15","2010/11","89235","87492","87492","228700","227210","227210","14467","14507","14507","3.185","3.295","3.295"
"16","2011/12","70979","70070","70070","145380","144100","144100","13330","13250","13250","1.364","1.398","1.398"
"17","2012/13","79514","78341","78341","163950","161480","161480","10277","10083","10083","1.005","1.03","1.03"
"18","2013/14","105350","103220","103220","206620","204780","204780","11484","11559","11559","0.686","0.706","0.706"
"19","2014/15","130490","129170","129170","214120","211870","211870","12539","12369","12369","0.56","0.569","0.569"
"20","2015/16","148550","146480","146480","290990","286960","286960","20268","19948","19948","0.574","0.587","0.587"
"21","2016/17","225790","221930","221930","450090","444140","444140","26548","26318","26318","0.274","0.281","0.281"
"22","2017/18","278450","274050","274050","415500","407650","407650","34824","33685","33685","0.326","0.334","0.334"
"23","2018/19","351370","340830","340830","581470","558780","558780","55430","51784","51784","0.387","0.402","0.402"
"24","2019/20","495110","473920","473920","824040","835630","835630","58165","66653","66653","0.385","0.405","0.405"
"25","2020/21",NA,"686790","686790",NA,"918000","918000",NA,"25359","25359",NA,"0.345","0.345"
