"","Año","$BD_{julio_{F60}}$","$BD_{julio_{F55}}$","$BT_{julio_{F60}}$","$BT_{julio_{F55}}$","$R_{julio_{F60}}$","$R_{julio_{F55}}$","$F_{julio_{F60}}$","$F_{julio_{F55}}$"
"1","1996/97","443792","443792","1532630","1532630","36114","36114","0.989","0.989"
"2","1997/98","243421","243421","372225","372225","43856","43856","0.906","0.906"
"3","1998/99","269947","269947","648361","648361","22500","22500","1.567","1.567"
"4","1999/00","261093","261093","478819","478819","34070","34070","0.335","0.335"
"5","2000/01","306495","306495","626269","626269","60974","60974","0.058","0.058"
"6","2001/02","523559","523559","737871","737871","42663","42663","0.54","0.54"
"7","2002/03","744117","744117","1785330","1785330","77627","77627","0.342","0.342"
"8","2003/04","920598","920598","1637000","1637000","75553","75553","0.676","0.676"
"9","2004/05","792302","792302","1709420","1709420","98997","98997","0.764","0.764"
"10","2005/06","850165","850165","1656100","1656100","116943","116943","0.563","0.563"
"11","2006/07","892636","892636","1533900","1533900","66686","66686","1.041","1.041"
"12","2007/08","629190","629190","1071210","1071210","46064","46064","0.912","0.912"
"13","2008/09","395986","395986","787690","787690","45877","45877","1.457","1.457"
"14","2009/10","205889","205889","430634","430634","24814","24814","2.878","2.878"
"15","2010/11","87969.4","87969.4","227531","227531","14434","14434","3.317","3.317"
"16","2011/12","70405.9","70405.9","144770","144770","13317","13317","1.408","1.408"
"17","2012/13","78958.5","78958.5","162233","162233","10088","10088","1.033","1.033"
"18","2013/14","103902","103902","205737","205737","11583","11583","0.708","0.708"
"19","2014/15","129992","129992","213265","213265","12468","12468","0.57","0.57"
"20","2015/16","147467","147467","288424","288424","19956","19956","0.601","0.601"
"21","2016/17","222044","222044","442739","442739","26122","26122","0.278","0.278"
"22","2017/18","273533","273533","406733","406733","33514","33514","0.338","0.338"
"23","2018/19","339853","339853","561985","561985","53182","53182","0.407","0.407"
"24","2019/20","479011","479011","838744","838744","63379","63379","0.404","0.404"
"25","2020/21","626493","626493","923891","923891","25914","25914","0.395","0.395"
